Index,Weight(Pounds)
157,158.9562
250,84.3598
294,92.74955
368,168.229
447,162.4109
473,93.99438
699,95.20216
728,83.08527
734,95.70426
1046,160.8831
1236,158.7833
1272,95.18466
1325,158.7993
1333,162.8737
1363,159.6644
1433,90.29334
1517,95.80713
1727,94.51219
2010,90.91793
2024,159.2724
2099,94.29987
2259,93.44115
2486,90.6784
2621,93.78282
2652,88.04646
2736,160.8859
2791,94.21971
3102,94.61233
3516,84.86345
3598,92.37513
3697,95.74545
3841,159.8542
3924,162.1526
4054,162.0645
4344,168.881
4460,95.88791
4461,158.3578
4625,166.3016
4991,159.3608
5004,159.9758
5009,160.0364
5367,86.982
5395,166.2812
5453,93.29146
5467,92.65767
5706,86.669
5842,92.08858
5874,161.7266
6119,165.7172
6155,159.2435
6199,94.59876
6257,91.26068
6348,86.49925
6365,93.09256
6385,164.5588
6399,159.2052
6406,94.80998
6439,92.20107
6507,163.8992
7321,88.81051
7418,90.03145
7621,94.93893
7806,159.3967
7835,159.7844
7997,169.1268
8125,91.8085
8151,91.25752
8318,84.26295
8328,159.4608
8375,94.21964
8415,90.16983
8418,95.73883
8432,161.6214
8604,158.4771
8753,160.9728
8921,93.44279
9240,160.4111
9246,94.98665
9377,159.9584
9428,95.71141
9454,160.2278
9595,93.75301
9683,159.8926
9689,159.3021
9824,165.8716
9919,159.961
9926,165.815
9958,162.3663
10235,170.924
10241,85.2904
10331,164.6643
10478,89.64885
10605,160.4871
11164,161.3014
11196,94.96925
11352,92.95851
11361,158.5864
11402,94.80076
11452,91.91782
11486,90.53995
11521,92.82921
11754,166.7687
11806,159.966
11820,162.0943
11951,93.96913
11975,166.1956
12140,158.4821
12447,87.3791
12700,91.22631
12725,92.59193
12732,89.1971
12744,95.01295
12884,167.8045
13707,91.79628
13739,165.4348
14107,78.56785
14307,159.4214
14399,90.24255
14515,162.4844
14728,94.45359
14756,160.8373
14799,158.5479
14838,160.1136
14903,95.36862
15006,83.33859
15098,163.8728
15111,92.31443
15470,95.8643
15475,163.3466
15491,158.7778
15537,93.56304
16059,93.85997
16127,164.5865
16199,93.77605
16448,160.6929
16477,161.2538
16553,90.67684
16628,161.0088
16659,160.9951
16886,94.05081
17036,93.14015
17080,170.5479
17118,95.53404
17264,92.91629
17266,89.82395
17379,94.18679
17599,90.28757
18346,160.6777
18538,95.71513
18611,95.82746
18683,93.4895
18689,94.24776
18880,95.6685
19204,88.16618
19471,161.4436
19473,91.57279
19825,161.906
19855,89.95606
20003,161.0239
20309,165.69
20355,93.13802
20392,92.23364
20763,94.20537
21008,164.4539
21102,85.98927
21154,159.105
21220,95.09752
21359,92.72194
21786,159.2503
21945,94.26051
22195,95.27771
22283,91.37972
22284,92.55327
22364,159.438
22434,159.1321
22562,161.072
22739,87.80417
22946,78.01476
23067,95.14852
23078,160.4327
23095,159.7426
23273,94.12903
23345,160.0595
23545,94.7257
23735,95.63814
23760,94.51209
24188,161.8504
24611,82.38298
24751,159.6344
24836,94.40946
24890,161.8532
