Index,Weight(Pounds)
250,84.3598
368,168.229
447,162.4109
728,83.08527
1333,162.8737
1433,90.29334
2010,90.91793
2486,90.6784
2652,88.04646
3516,84.86345
3924,162.1526
4054,162.0645
4344,168.881
4625,166.3016
5367,86.982
5395,166.2812
5706,86.669
5842,92.08858
6119,165.7172
6257,91.26068
6348,86.49925
6385,164.5588
6507,163.8992
7321,88.81051
7418,90.03145
7997,169.1268
8125,91.8085
8151,91.25752
8318,84.26295
8415,90.16983
9824,165.8716
9926,165.815
9958,162.3663
10235,170.924
10241,85.2904
10331,164.6643
10478,89.64885
11452,91.91782
11486,90.53995
11754,166.7687
11820,162.0943
11975,166.1956
12447,87.3791
12700,91.22631
12732,89.1971
12884,167.8045
13707,91.79628
13739,165.4348
14107,78.56785
14399,90.24255
14515,162.4844
15006,83.33859
15098,163.8728
15475,163.3466
16127,164.5865
16553,90.67684
17080,170.5479
17266,89.82395
17599,90.28757
19204,88.16618
19473,91.57279
19855,89.95606
20309,165.69
21008,164.4539
21102,85.98927
22283,91.37972
22739,87.80417
22946,78.01476
24611,82.38298
